               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.037239,            0.035527,            0.011634,             0.84216,             0.94884,             0.94508,             0.57803,            0.031983,            0.027972,            0.011348,           0.0073864,           0.0073864,           0.0073864
                 134,            0.034393,            0.040136,            0.011662,             0.87533,             0.94824,             0.93136,             0.54534,            0.031906,            0.028086,            0.011153,           0.0073666,           0.0073666,           0.0073666
                 135,            0.035982,            0.035034,            0.011002,             0.78931,             0.93708,             0.92826,             0.54425,            0.034301,             0.02901,            0.011108,           0.0073468,           0.0073468,           0.0073468
                 136,            0.036534,            0.035693,            0.012112,              0.9563,             0.95676,             0.98527,             0.59006,            0.029809,              0.0278,            0.010934,            0.007327,            0.007327,            0.007327
                 137,            0.033144,            0.039583,            0.011539,             0.82236,             0.95745,             0.93298,             0.56356,            0.031346,            0.028616,            0.010703,           0.0073072,           0.0073072,           0.0073072
                 138,            0.034375,            0.038264,            0.011807,             0.85599,             0.94383,             0.94372,             0.54388,            0.033676,            0.028491,            0.010444,           0.0072874,           0.0072874,           0.0072874
                 139,            0.037978,            0.037641,            0.011008,             0.76273,             0.96749,             0.90406,             0.56382,            0.030468,            0.028038,            0.010352,           0.0072676,           0.0072676,           0.0072676
                 140,            0.034573,            0.040189,              0.0109,             0.93694,             0.96561,             0.98368,             0.61381,            0.029731,            0.028086,            0.010062,           0.0072478,           0.0072478,           0.0072478
                 141,             0.03421,            0.037596,            0.010981,             0.74904,             0.93471,             0.90719,             0.54563,            0.033801,            0.029379,           0.0099701,            0.007228,            0.007228,            0.007228
                 142,            0.036316,            0.038882,            0.010678,             0.83768,             0.93054,               0.925,              0.5386,            0.029386,            0.028145,           0.0097584,           0.0072082,           0.0072082,           0.0072082
                 143,            0.032503,            0.038436,            0.011013,             0.83381,             0.87225,             0.91506,             0.53387,            0.034207,             0.02923,           0.0095684,           0.0071884,           0.0071884,           0.0071884
                 144,            0.036925,            0.038074,            0.010684,             0.93186,             0.95927,             0.98058,             0.59839,            0.028538,            0.027555,           0.0093807,           0.0071686,           0.0071686,           0.0071686
                 145,            0.033918,            0.037136,           0.0099932,             0.89653,             0.96847,             0.95725,             0.58344,            0.032823,            0.028962,           0.0091679,           0.0071488,           0.0071488,           0.0071488
                 146,            0.035099,            0.035199,           0.0096628,             0.92705,             0.98216,             0.97787,             0.61601,            0.028859,             0.02709,           0.0089184,            0.007129,            0.007129,            0.007129
                 147,            0.032825,            0.038061,           0.0092525,             0.80603,             0.97806,             0.94133,             0.55711,            0.031301,             0.02771,           0.0086288,           0.0071092,           0.0071092,           0.0071092
                 148,            0.036281,            0.034184,           0.0096619,             0.97491,             0.97732,             0.99272,             0.59495,            0.031316,            0.027674,           0.0083473,           0.0070894,           0.0070894,           0.0070894
                 149,            0.034479,            0.038568,           0.0087435,             0.94152,             0.98658,             0.98739,             0.63594,            0.030183,            0.027382,           0.0082249,           0.0070696,           0.0070696,           0.0070696
                 150,            0.036698,             0.03392,           0.0089984,             0.98003,              0.9813,             0.99322,             0.52955,            0.033677,            0.027567,           0.0079594,           0.0070498,           0.0070498,           0.0070498
